Datum;Maschine;Monat;Produktion;Ausschuss;Ausschussrate;Gutmenge;Stillstand_min;Kosten_pro_Einheit;Gesamtkosten;Ausschussquote;Reale_Kosten;Stillstand_Stunden;Stillstand_Tage
2024-01-01 00:00:00;M1;1;100,0;4,0;4,0;96,0;2,8820484642344724;21,198793532248164;2119,8793532248164;4,0;2204,674527353809;0,04803414107057454;0,0020014225446072726
2024-01-01 01:00:00;M3;1;115,91574640145062;6,4;5,521251597548189;109,5157464014506;4,836048646416179;18,781939428322893;2177,122527700883;5,521251597548189;2297,3269400421495;0,08060081077360298;0,003358367115566791
2024-01-01 02:00:00;M2;1;98,1;5,0;5,09683995922528;93,1;15,961740266042725;27,773282707950766;2724,5590336499704;5,096839959225281;2863,4254471897243;0,2660290044340454;0,011084541851418559
2024-01-01 03:00:00;M2;1;79,2;6,0;7,575757575757576;73,2;3,9542661902105234;19,23474873783999;1523,392100036927;7,575757575757576;1638,800592463967;0,06590443650350872;0,0027460181876461966
2024-01-01 04:00:00;M1;1;127,0;5,0;3,937007874015748;122,0;5,14054545371459;22,05120926392945;2800,5035765190405;3,937007874015748;2910,759622838688;0,08567575756190983;0,003569823231746243
2024-01-01 05:00:00;M1;1;77,0;6,0;7,792207792207792;71,0;6,746288904897692;16,235720632069253;1250,1504886693324;7,792207792207792;1347,5648124617478;0,11243814841496153;0,004684922850623397
2024-01-01 06:00:00;M1;1;104,0;3,0;2,8846153846153846;101,0;4,073803490287271;20,36547208613432;2118,0090969579696;2,8846153846153846;2179,1055132163724;0,06789672483812119;0,002829030201588383
2024-01-01 07:00:00;M3;1;114,46344937883428;6,4;5,591304503517295;108,06344937883428;7,824759248262596;20,851967844545925;2386,7881658232627;5,591304503517295;2520,240760028357;0,13041265413770992;0,005433860589071246
2024-01-01 08:00:00;M2;1;70,2;4,0;5,698005698005698;66,2;57,15968852146833;19,40382301601033;1362,1483757239257;5,698005698005698;1439,763667787967;0,9526614753578055;0,03969422813990856
2024-01-01 09:00:00;M2;1;74,7;5,0;6,693440428380187;69,7;4,651885883971138;21,90699140109064;1636,4522576614706;6,693440428380187;1745,9872146669238;0,07753143139951897;0,0032304763083132906
