Datum,Maschine,Monat,Produktion,Ausschuss,Ausschussrate,Gutmenge,Stillstand_min,Kosten_pro_Einheit,Gesamtkosten
2024-01-01 00:00:00,M1,1,100.0,4.0,4.0,96.0,2.8820484642344724,21.198793532248164,2119.8793532248164
2024-01-01 01:00:00,M3,1,115.91574640145062,6.4,5.521251597548189,109.51574640145061,4.836048646416179,18.781939428322893,2177.122527700883
2024-01-01 02:00:00,M2,1,98.10000000000001,5.0,5.09683995922528,93.10000000000001,15.961740266042723,27.773282707950766,2724.5590336499704
2024-01-01 03:00:00,M2,1,79.2,6.0,7.575757575757576,73.2,3.9542661902105234,19.23474873783999,1523.3921000369273
2024-01-01 04:00:00,M1,1,127.0,5.0,3.937007874015748,122.0,5.14054545371459,22.051209263929454,2800.5035765190405
2024-01-01 05:00:00,M1,1,77.0,6.0,7.792207792207792,71.0,6.746288904897692,16.235720632069253,1250.1504886693324
2024-01-01 06:00:00,M1,1,104.0,3.0,2.8846153846153846,101.0,4.073803490287271,20.36547208613432,2118.0090969579696
2024-01-01 07:00:00,M3,1,114.46344937883428,6.4,5.591304503517295,108.06344937883428,7.8247592482625965,20.851967844545925,2386.7881658232627
2024-01-01 08:00:00,M2,1,70.2,4.0,5.698005698005698,66.2,57.15968852146833,19.403823016010335,1362.1483757239255
2024-01-01 09:00:00,M2,1,74.7,5.0,6.693440428380187,69.7,4.651885883971138,21.906991401090636,1636.4522576614706
2024-01-01 10:00:00,M1,1,99.0,7.0,7.07070707070707,92.0,3.4111077581339715,15.944653082059734,1578.5206551239137
2024-01-01 11:00:00,M3,1,71.18970075379265,8.0,11.237580598446044,63.18970075379265,5.8071335695540505,13.804963232436194,982.7712014342427
2024-01-01 12:00:00,M3,1,120.5223464721652,6.4,5.310218550613839,114.12234647216519,0.7877887982407692,15.553647090126123,1874.5620435019646
2024-01-01 13:00:00,M1,1,122.0,6.0,4.918032786885246,116.0,6.8189447912066345,19.633603004452663,2395.299566543225
2024-01-01 14:00:00,M1,1,104.0,5.0,4.807692307692308,99.0,0.39570203190176234,16.22496233125209,1687.3960824502174
2024-01-01 15:00:00,M1,1,93.0,5.0,5.376344086021505,88.0,7.320978637065907,18.870874961358986,1754.9913714063857
2024-01-01 16:00:00,M1,1,116.0,8.0,6.896551724137931,108.0,8.473384954191545,20.40634146045082,2367.1356094122953
2024-01-01 17:00:00,M2,1,81.9,7.0,8.547008547008545,74.9,15.388500119574513,21.992292748255018,1801.1687760820862
2024-01-01 18:00:00,M2,1,68.4,5.0,7.309941520467836,63.400000000000006,40.094624098119496,22.473434797570675,1537.1829401538344
2024-01-01 19:00:00,M1,1,114.0,5.0,4.385964912280701,109.0,4.3061495691081495,16.20823173498745,1847.7384177885692
2024-01-01 20:00:00,M2,1,108.0,4.0,3.7037037037037033,104.0,23.016324151983518,21.812332927168768,2355.731956134227
2024-01-01 21:00:00,M1,1,88.0,2.0,2.272727272727273,86.0,15.785697305519088,18.025098747791002,1586.2086898056082
2024-01-01 22:00:00,M1,1,129.0,4.0,3.10077519379845,125.0,3.0296023259969034,17.31467584932893,2233.593184563432
2024-01-01 23:00:00,M1,1,109.0,5.0,4.587155963302752,104.0,1.485606266706832,19.654101513158476,2142.2970649342737
2024-01-02 00:00:00,M2,1,96.3,2.0,2.0768431983385254,94.3,2.538748823943406,24.543558759166935,2363.544708507776
2024-01-02 01:00:00,M3,1,74.47261190904547,4.800000000000001,6.445322484274237,69.67261190904547,10.344872742846556,16.487164553878657,1227.842207301576
2024-01-02 02:00:00,M1,1,115.0,10.0,8.695652173913043,105.0,9.40689996331438,22.37787731306884,2573.455891002917
2024-01-02 03:00:00,M2,1,69.3,8.0,11.544011544011545,61.3,5.582824712032936,19.83492719461793,1374.5604545870224
2024-01-02 04:00:00,M2,1,85.5,4.0,4.678362573099415,81.5,8.057492817320636,21.422489601240137,1831.6228609060317
2024-01-02 05:00:00,M1,1,89.0,4.0,4.49438202247191,85.0,3.314787979570268,20.68414322520007,1840.8887470428062
2024-01-02 06:00:00,M2,1,72.0,6.0,8.333333333333332,66.0,3.144886177086383,24.005689332742822,1728.4096319574833
2024-01-02 07:00:00,M1,1,113.0,4.0,3.5398230088495577,109.0,1.7984718553572776,20.375056760397257,2302.3814139248902
2024-01-02 08:00:00,M1,1,105.0,5.0,4.761904761904762,100.0,6.060159303291352,19.57395417025096,2055.265187876351
2024-01-02 09:00:00,M3,1,121.47328086588082,8.0,6.585810429235739,113.47328086588082,15.61633493476996,15.981842583837151,1941.3668529407448
2024-01-02 10:00:00,M3,1,59.84275944769963,6.4,10.694693993169492,53.44275944769963,15.44044112927754,19.83472065140341,1186.9644166542541
2024-01-02 11:00:00,M3,1,122.56534952204461,3.2,2.610852098475392,119.36534952204461,48.83583921164995,23.928024921675725,2932.7467378973793
2024-01-02 12:00:00,M1,1,101.0,3.0,2.9702970297029703,98.0,34.74430921850475,20.10170506443747,2030.2722115081847
2024-01-02 13:00:00,M1,1,93.0,4.0,4.301075268817205,89.0,7.65147605781615,17.80296365219167,1655.6756196538254
2024-01-02 14:00:00,M2,1,81.0,4.0,4.938271604938271,77.0,1.3650501720570087,19.98274424744215,1618.602284042814
2024-01-02 15:00:00,M2,1,63.0,2.0,3.1746031746031744,61.0,2.635374298050042,17.724158320961568,1116.6219742205787
2024-01-02 16:00:00,M1,1,117.0,8.0,6.837606837606838,109.0,23.065695435296707,18.34380078771861,2146.224692163077
2024-01-02 17:00:00,M2,1,104.4,6.0,5.747126436781609,98.4,9.193361305782187,25.356284828062144,2647.196136049688
2024-01-02 18:00:00,M1,1,144.0,5.0,3.4722222222222223,139.0,15.86593992096821,20.93629738140378,3014.8268229221444
2024-01-02 19:00:00,M3,1,131.83914123246268,9.600000000000001,7.281600828294987,122.23914123246269,9.445269593261179,14.342459449736127,1890.8975370146302
2024-01-02 20:00:00,M1,1,90.0,4.0,4.444444444444445,86.0,11.768887991886253,20.811038136220624,1872.9934322598563
2024-01-02 21:00:00,M2,1,66.60000000000001,10.0,15.015015015015013,56.60000000000001,41.53278588855223,23.968086397927305,1596.2745541019588
2024-01-02 22:00:00,M1,1,114.0,11.0,9.649122807017543,103.0,5.730837955079004,20.644439368512916,2353.4660880104725
2024-01-02 23:00:00,M2,1,99.9,8.0,8.008008008008009,91.9,7.052113780913948,20.775528182177332,2075.4752653995156
2024-01-03 00:00:00,M2,1,110.7,7.0,6.323396567299006,103.7,5.1197761957952395,23.211988886747196,2569.5671697629145
2024-01-03 01:00:00,M1,1,86.0,4.0,4.651162790697675,82.0,15.739433124160882,24.691951458235984,2123.5078254082946
2024-01-03 02:00:00,M3,1,98.88273017473216,1.6,1.618078300601831,97.28273017473217,1.96595740470833,18.568313990201695,1836.0855820928184
2024-01-03 03:00:00,M3,1,64.25992654630217,12.8,19.919101511541605,51.45992654630217,31.298177100251657,21.244820017355874,1365.1905738046985
2024-01-03 04:00:00,M3,1,135.8369196466234,6.4,4.711532046404948,129.43691964662338,40.20427734027777,16.31548642250837,2216.2454181698445
